[12/04/2020 2:23:03] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_teleport_character_to_menu], Params: [ Ducha 15670 142983 -2705] 
[12/04/2020 2:23:48] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_edit_character], Params: [] 
[12/04/2020 2:24:00] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_settitle], Params: [ MASTERMIND] 
[12/04/2020 2:24:09] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_edit_character], Params: [] 
[12/04/2020 2:24:22] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_current_player], Params: [] 
[12/04/2020 2:24:29] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin], Params: [] 
[12/04/2020 2:24:41] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_admin], Params: [] 
[12/04/2020 2:24:44] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_invis_menu], Params: [] 
[12/04/2020 2:25:43] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_event], Params: [] 
[12/04/2020 2:25:44] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_event_new], Params: [] 
[12/04/2020 2:26:51] --> GM: Ducha [268478400], Target: [Ducha], Action: [admin_ride_wyvern], Params: [] 
[12/04/2020 2:27:27] --> GM: Ducha [268478400], Target: [no-target], Action: [admin_unride_wyvern], Params: [] 
[12/04/2020 2:28:56] --> GM: Ducha [268478400], Target: [Monument of Heroes], Action: [admin_startsiege], Params: [] 
[12/04/2020 2:29:09] --> GM: Ducha [268478400], Target: [Monument of Heroes], Action: [admin_siege], Params: [ Giran] 
[12/04/2020 2:29:15] --> GM: Ducha [268478400], Target: [Monument of Heroes], Action: [admin_add_attacker], Params: [ Giran] 
[12/04/2020 2:29:20] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_add_attacker], Params: [ Giran] 
[12/04/2020 2:29:26] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_list_siege_clans], Params: [ Giran] 
[12/04/2020 2:29:35] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_siege], Params: [] 
[12/04/2020 2:29:38] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_siege], Params: [ Giran] 
[12/04/2020 2:29:50] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_startsiege], Params: [ Giran] 
[12/04/2020 2:30:01] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_admin], Params: [] 
[12/04/2020 2:30:05] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_move_to], Params: [] 
[12/04/2020 2:30:06] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_help], Params: [ tele/castles.htm] 
[12/04/2020 2:30:07] --> GM: Ducha [268478400], Target: [NAARA], Action: [admin_help], Params: [ tele/castles/giran.htm] 
